Drug_combo,Accuracy,R_recall,S_recall,R_precision,S_precision
CTZ_Y,0.8617021276595744,0.038461538461538464,0.9938271604938271,0.5,0.8655913978494624
CTZ_G,0.9547872340425532,0.7692307692307693,0.9845679012345679,0.8888888888888888,0.9637462235649547
CTZ_GY,0.9521276595744681,0.75,0.9845679012345679,0.8863636363636364,0.9608433734939759
CTX_Y,0.8781163434903048,0.42105263157894735,1.0,1.0,0.8662613981762918
CTX_G,0.9722991689750693,0.9210526315789473,0.9859649122807017,0.9459459459459459,0.9790940766550522
CTX_GY,0.9722991689750693,0.9210526315789473,0.9859649122807017,0.9459459459459459,0.9790940766550522
AMP_Y,0.7579617834394905,1.0,0.0,0.7579617834394905,0.0
AMP_G,0.9235668789808917,0.957983193277311,0.8157894736842105,0.9421487603305785,0.8611111111111112
AMP_GY,0.9171974522292994,0.9411764705882353,0.8421052631578947,0.9491525423728814,0.8205128205128205
AMX_Y,0.6073059360730594,1.0,0.0,0.6073059360730594,0.0
AMX_G,0.8949771689497716,0.8646616541353384,0.9418604651162791,0.9583333333333334,0.8181818181818182
AMX_GY,0.8949771689497716,0.8721804511278195,0.9302325581395349,0.9508196721311475,0.8247422680412371
AMC_Y,0.6964285714285714,0.0,1.0,0.0,0.6964285714285714
AMC_G,0.8065476190476191,0.5980392156862745,0.8974358974358975,0.7176470588235294,0.8366533864541833
AMC_GY,0.8065476190476191,0.6176470588235294,0.8888888888888888,0.7078651685393258,0.8421052631578947
TZP_Y,0.9404761904761905,0.0,1.0,0.0,0.9404761904761905
TZP_G,0.9404761904761905,0.1,0.9936708860759493,0.5,0.9457831325301205
TZP_GY,0.9434523809523809,0.1,0.9968354430379747,0.6666666666666666,0.9459459459459459
CXM_Y,0.8218085106382979,0.3592233009708738,0.9963369963369964,0.9736842105263158,0.8047337278106509
CXM_G,0.9095744680851063,0.7184466019417476,0.9816849816849816,0.9367088607594937,0.9023569023569024
CXM_GY,0.901595744680851,0.7184466019417476,0.9706959706959707,0.9024390243902439,0.9013605442176871
CET_Y,0.7770700636942676,0.6567164179104478,0.8666666666666667,0.7857142857142857,0.7722772277227723
CET_G,0.9299363057324841,0.835820895522388,1.0,1.0,0.8910891089108911
CET_GY,0.9235668789808917,0.8208955223880597,1.0,1.0,0.8823529411764706
GEN_Y,0.8856382978723404,0.4,0.9688473520249221,0.6875,0.9040697674418605
GEN_G,0.9787234042553191,0.8727272727272727,0.9968847352024922,0.9795918367346939,0.9785932721712538
GEN_GY,0.973404255319149,0.8363636363636363,0.9968847352024922,0.9787234042553191,0.9726443768996961
TBM_Y,0.7770700636942676,0.48936170212765956,0.9,0.6764705882352942,0.8048780487804879
TBM_G,0.9171974522292994,0.7872340425531915,0.9727272727272728,0.925,0.9145299145299145
TBM_GY,0.9299363057324841,0.8085106382978723,0.9818181818181818,0.95,0.9230769230769231
TMP_Y,0.5732484076433121,0.4,0.7126436781609196,0.5283018867924528,0.5961538461538461
TMP_G,0.89171974522293,0.8571428571428571,0.9195402298850575,0.8955223880597015,0.8888888888888888
TMP_GY,0.89171974522293,0.8571428571428571,0.9195402298850575,0.8955223880597015,0.8888888888888888
CIP_Y,0.776595744680851,0.25882352941176473,0.9278350515463918,0.5116279069767442,0.8108108108108109
CIP_G,0.9281914893617021,0.8,0.9656357388316151,0.8717948717948718,0.9429530201342282
CIP_GY,0.9335106382978723,0.8,0.9725085910652921,0.8947368421052632,0.9433333333333334
