Drug_combo,Accuracy,R_recall,S_recall,R_precision,S_precision
CTZ_Y,0.8617021276595744,0.038461538461538464,0.9938271604938271,0.5,0.8655913978494624
CTZ_G,0.9095744680851063,0.4230769230769231,0.9876543209876543,0.8461538461538461,0.9142857142857143
CTZ_GY,0.9122340425531915,0.4230769230769231,0.9907407407407407,0.88,0.9145299145299145
CTX_Y,0.8781163434903048,0.42105263157894735,1.0,1.0,0.8662613981762918
CTX_G,0.9473684210526315,0.7894736842105263,0.9894736842105263,0.9523809523809523,0.9463087248322147
CTX_GY,0.9529085872576177,0.8157894736842105,0.9894736842105263,0.9538461538461539,0.9527027027027027
AMP_Y,0.7579617834394905,1.0,0.0,0.7579617834394905,0.0
AMP_G,0.7770700636942676,0.8907563025210085,0.42105263157894735,0.828125,0.5517241379310345
AMP_GY,0.8089171974522293,0.9327731092436975,0.42105263157894735,0.8345864661654135,0.6666666666666666
AMX_Y,0.6073059360730594,1.0,0.0,0.6073059360730594,0.0
AMX_G,0.8401826484018264,0.9022556390977443,0.7441860465116279,0.8450704225352113,0.8311688311688312
AMX_GY,0.8310502283105022,0.8872180451127819,0.7441860465116279,0.8428571428571429,0.810126582278481
AMC_Y,0.6964285714285714,0.0,1.0,0.0,0.6964285714285714
AMC_G,0.7261904761904762,0.4117647058823529,0.8632478632478633,0.5675675675675675,0.7709923664122137
AMC_GY,0.7589285714285714,0.4803921568627451,0.8803418803418803,0.6363636363636364,0.7953667953667953
TZP_Y,0.9404761904761905,0.0,1.0,0.0,0.9404761904761905
TZP_G,0.9434523809523809,0.1,0.9968354430379747,0.6666666666666666,0.9459459459459459
TZP_GY,0.9434523809523809,0.1,0.9968354430379747,0.6666666666666666,0.9459459459459459
CXM_Y,0.8218085106382979,0.3592233009708738,0.9963369963369964,0.9736842105263158,0.8047337278106509
CXM_G,0.851063829787234,0.5631067961165048,0.9597069597069597,0.8405797101449275,0.8534201954397395
CXM_GY,0.8563829787234043,0.5631067961165048,0.967032967032967,0.8656716417910447,0.8543689320388349
CET_Y,0.7770700636942676,0.6567164179104478,0.8666666666666667,0.7857142857142857,0.7722772277227723
CET_G,0.9235668789808917,0.835820895522388,0.9888888888888889,0.9824561403508771,0.89
CET_GY,0.910828025477707,0.8059701492537313,0.9888888888888889,0.9818181818181818,0.8725490196078431
GEN_Y,0.8856382978723404,0.4,0.9688473520249221,0.6875,0.9040697674418605
GEN_G,0.9388297872340425,0.7090909090909091,0.9781931464174455,0.8478260869565217,0.9515151515151515
GEN_GY,0.9441489361702128,0.7454545454545455,0.9781931464174455,0.8541666666666666,0.9573170731707317
TBM_Y,0.7834394904458599,0.5106382978723404,0.9,0.6857142857142857,0.8114754098360656
TBM_G,0.8343949044585988,0.6170212765957447,0.9272727272727272,0.7837837837837838,0.85
TBM_GY,0.8662420382165605,0.7021276595744681,0.9363636363636364,0.825,0.8803418803418803
TMP_Y,0.5732484076433121,0.4,0.7126436781609196,0.5283018867924528,0.5961538461538461
TMP_G,0.8980891719745223,0.8714285714285714,0.9195402298850575,0.8970588235294118,0.898876404494382
TMP_GY,0.910828025477707,0.8857142857142857,0.9310344827586207,0.9117647058823529,0.9101123595505618
CIP_Y,0.776595744680851,0.25882352941176473,0.9278350515463918,0.5116279069767442,0.8108108108108109
CIP_G,0.9335106382978723,0.788235294117647,0.9759450171821306,0.9054054054054054,0.9403973509933775
CIP_GY,0.9335106382978723,0.788235294117647,0.9759450171821306,0.9054054054054054,0.9403973509933775
